TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ShowType
1008	3级宝石袋	Random_Stone_Bag_3	34	100	100		RandomItem	1	打开后随机获得1颗3级宝石	20000	1	2	1000		1	0	99999	1008	1									
1009	4级宝石袋	Random_Stone_Bag_4	34	100	100		RandomItem	1	打开后随机获得1颗4级宝石	20000	1	2	1000		1	0	99999	1009	1									
1010	5级宝石袋	Random_Stone_Bag_5	34	100	100		RandomItem	1	打开后随机获得1颗5级宝石	20000	1	2	1000		1	0	99999	1010	1									
1011	6级宝石袋	Random_Stone_Bag_6	34	100	100		RandomItem	1	打开后随机获得1颗6级宝石	20000	1	2	1000		1	0	99999	1011	1									
1012	7级宝石袋	Random_Stone_Bag_7	34	100	100		RandomItem	1	打开后随机获得1颗7级宝石	20000	1	2	1000		1	0	99999	1012	1									
1013	8级宝石袋	Random_Stone_Bag_8	34	100	100		RandomItem	1	打开后随机获得1颗8级宝石	20000	1	2	1000		1	0	99999	1013	1									
1015	9级宝石袋	Random_Stone_Bag_9	34	100	100		RandomItem	1	打开后随机获得1颗9级宝石	20000	1	2	1000		1	0	99999	1015	1									
1020	2小时免战令	Debris_Item1	34	778	778		DebrisAvod	100	使用后增加2小时的夺宝保护时间	20000	1	1	1000		1	0	99999											
1021	8小时免战令	Debris_Item2	34	779	779		DebrisAvod	100	使用后增加8小时的夺宝保护时间	20000	1	1	1000		1	0	99999											
1224	钱袋	Purse1	34	100	100		RandomItem	1	打开后获得银两	20000	1	4	1000	2	1	0	99999	1016										
1225	英雄令	HonorLevelItem	34	100	100			12	用于提升头衔	20000	1	4	1000		1	0	99999											
1226	1级家族礼盒	Kin_Gift_Box_1	34	1226	1226		RandomItem	1	家族福利，打开后随机获得一份奖励	20000	1	1	1000	1	1	0	99999	1017										
1227	2级家族礼盒	Kin_Gift_Box_2	34	1226	1226		RandomItem	1	家族福利，打开后随机获得一份奖励	20000	1	1	1000	2	1	0	99999	1018										
1228	3级家族礼盒	Kin_Gift_Box_3	34	1226	1226		RandomItem	1	家族福利，打开后随机获得一份奖励	20000	1	1	1000	2	1	0	99999	1019										
1229	4级家族礼盒	Kin_Gift_Box_4	34	1226	1226		RandomItem	1	家族福利，打开后随机获得一份奖励	20000	1	1	1000	2	1	0	99999	1020										
1230	5级家族礼盒	Kin_Gift_Box_5	34	1226	1226		RandomItem	1	家族福利，打开后随机获得一份奖励	20000	1	1	1000	3	1	0	99999	1021										
1231	6级家族礼盒	Kin_Gift_Box_6	34	1226	1226		RandomItem	1	家族福利，打开后随机获得一份奖励	20000	1	1	1000	3	1	0	99999	1022										
1232	7级家族礼盒	Kin_Gift_Box_7	34	1226	1226		RandomItem	1	家族福利，打开后随机获得一份奖励	20000	1	1	1000	4	1	0	99999	1023										
1233	8级家族礼盒	Kin_Gift_Box_8	34	1226	1226		RandomItem	1	家族福利，打开后随机获得一份奖励	20000	1	1	1000	5	1	0	99999	1024										
1234	玫瑰花	qinmi_hua1	34	1023	1023		Rose	1	赠送好友后双方增加亲密度，只能对女性角色赠送\n[FFFE0D]每天只能给同一个好友赠送5朵[-]		1	1			1	0	99999											
1235	幸运草	qinmi_hua2	34	1024	1024		Grass	1	赠送好友后双方增加亲密度，只能对男性角色赠送\n[FFFE0D]每天只能给同一个好友赠送5颗[-]		1	1			1	0	99999											
1240	首充礼包	FirstRecharge_Gift	34	1240	1240		RandomItem	1	完成首次充值后获得的馈赠	1610000	1	1	1000	7	1	0	99999	1240										
1458	首充礼包	FirstRecharge_Gift1	34	1240	1240		RandomItem	1	完成首次充值后获得的馈赠	2095000	1	1	1000	7	1	0	99999	1241										
1459	首充礼包	FirstRecharge_Gift2	34	1240	1240		RandomItem	1	完成首次充值后获得的馈赠	2580000	1	1	1000	7	1	0	99999	1242										
1460	首充礼包	FirstRecharge_Gift3	34	1240	1240		RandomItem	1	完成首次充值后获得的馈赠	3065000	1	1	1000	7	1	0	99999	1243										
1461	首充礼包	FirstRecharge_Gift4	34	1240	1240		RandomItem	1	完成首次充值后获得的馈赠	3550000	1	1	1000	7	1	0	99999	1244										
1462	首充礼包	FirstRecharge_Gift5	34	1240	1240		RandomItem	1	完成首次充值后获得的馈赠	4035000	1	1	1000	7	1	0	99999	1245										
2275	首充礼包	FirstRecharge_Gift6	34	1240	1240		RandomItem	1	完成首次充值后获得的馈赠	4520000	1	1	1000	7	1	0	99999	1246										
1242	1元超值礼包	Recharge_Gift_1	34	1242	1242		RandomItem	1	使用获得：[FFFE0D]白水晶*6、20元宝、2000银两、黄金宝箱、藏宝图[-]		1	1	1000	2	1	0	99999	1031										
1243	盟主的馈赠	BossBox_Normal	34	100	100		RandomItemByLevel	1	武林盟主赠予，打开后从以下奖励中获得一种：\n[FFFE0D]武林荣誉、宝石、贡献、水晶[-]		1	1	1000		1	0	99999	16										
1245	盟主的馈赠	BossBox_Senior	34	100	100		RandomItemByLevel	1	武林盟主赠予，打开后从以下奖励中获得一种：\n[FFFE0D]武林荣誉、宝石、贡献、水晶[-]		1	1	1000		1	0	99999	17										
1256	魂石	Partner_Soul	35	1256	1256		AddPartnerStoneItem	1	使用后，可获得1点魂石		1	1	100	5	1	0	99999	0	1									
1257	精魄	Partner_Spirit	35	1257	1257		AddPartnerStoneItem	1	使用后，可获得1点精魄		1	1	100	5	1	0	99999	1	1									
1258	武神战牌	RankBattle_Item1	34	1258	1258		CountAddProp	1	使用后增加10次武神殿挑战次数		1	1	100	2	1	0	99999											
